G-XCHANGE INC (MYNT),03/17/2025 11:59:49 PM,03/17/2025,E31FB4614D62,430801200608,06372024800323,567.8400
G-XCHANGE INC (MYNT),03/17/2025 11:59:37 PM,03/17/2025,4D510E61D926,511101200154,06424337620322,417.5500
G-XCHANGE INC (MYNT),03/17/2025 11:59:32 PM,03/17/2025,96B29FD65589,517101000656,06172692530331,804.0000
G-XCHANGE INC (MYNT),03/17/2025 11:59:31 PM,03/17/2025,4011E0B0296A,957701200013,06822781720331,688.0000
G-XCHANGE INC (MYNT),03/17/2025 11:59:15 PM,03/17/2025,AD7CF148F4DD,560301200102,06450071870331,3202.0000
G-XCHANGE INC (MYNT),03/17/2025 11:59:00 PM,03/17/2025,AADA51F596D1,681001200181,06025519930325,596.3300
G-XCHANGE INC (MYNT),03/17/2025 11:58:59 PM,03/17/2025,B0E56BE37D2E,622601200118,06244642440331,1000.0000
G-XCHANGE INC (MYNT),03/17/2025 11:58:46 PM,03/17/2025,D8441E254BC2,595101100068,05901096780331,560.1100
G-XCHANGE INC (MYNT),03/17/2025 11:58:40 PM,03/17/2025,61467CC3A591,430201020175,06032561460331,919.0000
G-XCHANGE INC (MYNT),03/17/2025 11:58:18 PM,03/17/2025,343D681B5555,856301100254,06626696800331,393.5900
G-XCHANGE INC (MYNT),03/17/2025 11:58:13 PM,03/17/2025,ABF9DE595E9E,011001000080,00002422761117,580.0000
G-XCHANGE INC (MYNT),03/17/2025 11:58:07 PM,03/17/2025,A83FE585651F,515901200027,06165932190331,1848.0000
TRUEMONEY,03/17/2025 11:57:45 PM,03/17/2025,F555978B09D0,803401200194,06551237590408,322.5600
G-XCHANGE INC (MYNT),03/17/2025 11:57:43 PM,03/17/2025,4D8E8F72833C,655901200290,06012250570331,437.3600
G-XCHANGE INC (MYNT),03/17/2025 11:57:41 PM,03/17/2025,7011652C2DB7,858601100061,06615860050331,1260.5700
G-XCHANGE INC (MYNT),03/17/2025 11:57:39 PM,03/17/2025,78C74947BF7E,680901200181,06330390970331,291.5400
G-XCHANGE INC (MYNT),03/17/2025 11:57:36 PM,03/17/2025,C7B7417A160C,515801000955,06172724160331,653.0000
G-XCHANGE INC (MYNT),03/17/2025 11:57:23 PM,03/17/2025,6FA1A49E135A,572301203030,05700843430412,920.5000
G-XCHANGE INC (MYNT),03/17/2025 11:57:17 PM,03/17/2025,7E7D89C85A78,517301200083,06166484120331,2304.6000
G-XCHANGE INC (MYNT),03/17/2025 11:57:08 PM,03/17/2025,32F4943B2D9A,847501020078,06592062170404,201.3500
G-XCHANGE INC (MYNT),03/17/2025 11:57:07 PM,03/17/2025,2F863854BD61,541800100083,06180331640331,406.9600
G-XCHANGE INC (MYNT),03/17/2025 11:56:59 PM,03/17/2025,DB270E0553E7,942601100643,06813701640406,1437.1400
G-XCHANGE INC (MYNT),03/17/2025 11:56:56 PM,03/17/2025,BABC395D1F4E,094304000020,00003630220320,802.2500
G-XCHANGE INC (MYNT),03/17/2025 11:56:50 PM,03/17/2025,848430282733,680901200182,06330391000331,746.5000
